,time,SSC (mg/L)
314,1995-08-11 00:00:00.000,38.07400000000001
315,1995-08-12 00:00:00.000,38.360000000000014
316,1995-08-13 00:00:00.000,38.646000000000015
317,1995-08-14 00:00:00.000,38.932000000000016
318,1995-08-15 00:00:00.000,39.21800000000002
319,1995-08-16 00:00:00.000,39.50400000000002
320,1995-08-17 00:00:00.000,39.79000000000002
321,1995-08-18 00:00:00.000,40.07600000000002
322,1995-08-19 00:00:00.000,40.36200000000002
323,1995-08-20 00:00:00.000,40.648000000000025
324,1995-08-21 00:00:00.000,40.934000000000026
325,1995-08-22 00:00:00.000,41.22000000000003
326,1995-08-23 00:00:00.000,41.50600000000003
327,1995-08-24 00:00:00.000,41.79200000000003
328,1995-08-25 00:00:00.000,42.07800000000003
329,1995-08-26 00:00:00.000,42.36400000000003
330,1995-08-27 00:00:00.000,42.650000000000034
331,1995-08-28 00:00:00.000,42.936000000000035
332,1995-08-29 00:00:00.000,43.22200000000004
333,1995-08-30 00:00:00.000,44.05769230769231
334,1995-08-31 00:00:00.000,44.1875
335,1995-09-01 00:00:00.000,43.5
336,1995-09-02 00:00:00.000,43.367
337,1995-09-03 00:00:00.000,43.233999999999995
338,1995-09-04 00:00:00.000,43.10099999999999
339,1995-09-05 00:00:00.000,42.96799999999999
340,1995-09-06 00:00:00.000,42.83499999999999
341,1995-09-07 00:00:00.000,42.701999999999984
342,1995-09-08 00:00:00.000,42.56899999999998
343,1995-09-09 00:00:00.000,42.43599999999998
344,1995-09-10 00:00:00.000,42.302999999999976
345,1995-09-11 00:00:00.000,42.16999999999997
346,1995-09-12 00:00:00.000,42.03699999999997
347,1995-09-13 00:00:00.000,41.90399999999997
348,1995-09-14 00:00:00.000,41.770999999999965
349,1995-09-15 00:00:00.000,41.63799999999996
350,1995-09-16 00:00:00.000,41.50499999999996
351,1995-09-17 00:00:00.000,41.37199999999996
352,1995-09-18 00:00:00.000,41.238999999999955
353,1995-09-19 00:00:00.000,41.10599999999995
354,1995-09-20 00:00:00.000,40.97299999999995
355,1995-09-21 00:00:00.000,40.83999999999995
356,1995-09-22 00:00:00.000,40.706999999999944
357,1995-09-23 00:00:00.000,40.57399999999994
358,1995-09-24 00:00:00.000,40.44099999999994
359,1995-09-25 00:00:00.000,40.307999999999936
360,1995-09-26 00:00:00.000,40.17499999999993
361,1995-09-27 00:00:00.000,40.04199999999993
362,1995-09-28 00:00:00.000,39.90899999999993
363,1995-09-29 00:00:00.000,39.775999999999925
364,1995-09-30 00:00:00.000,39.64299999999992
365,1995-10-01 00:00:00.000,39.50999999999992
366,1995-10-02 00:00:00.000,39.37699999999992
367,1995-10-03 00:00:00.000,39.243999999999915
368,1995-10-04 00:00:00.000,39.11099999999991
369,1995-10-05 00:00:00.000,38.97799999999991
370,1995-10-06 00:00:00.000,38.84499999999991
371,1995-10-07 00:00:00.000,38.711999999999904
372,1995-10-08 00:00:00.000,38.5789999999999
373,1995-10-09 00:00:00.000,38.4459999999999
374,1995-10-10 00:00:00.000,38.312999999999896
375,1995-10-11 00:00:00.000,38.17999999999989
376,1995-10-12 00:00:00.000,38.04699999999989
377,1995-10-13 00:00:00.000,37.91399999999989
378,1995-10-14 00:00:00.000,37.780999999999885
379,1995-10-15 00:00:00.000,37.64799999999988
380,1995-10-16 00:00:00.000,37.51499999999988
381,1995-10-17 00:00:00.000,37.38199999999988
382,1995-10-18 00:00:00.000,37.248999999999874
383,1995-10-19 00:00:00.000,37.11599999999987
384,1995-10-20 00:00:00.000,36.98299999999987
385,1995-10-21 00:00:00.000,36.849999999999866
386,1995-10-22 00:00:00.000,36.716999999999864
387,1995-10-23 00:00:00.000,36.58399999999986
388,1995-10-24 00:00:00.000,36.45099999999986
389,1995-10-25 00:00:00.000,36.317999999999856
390,1995-10-26 00:00:00.000,36.18499999999985
391,1995-10-27 00:00:00.000,36.05199999999985
392,1995-10-28 00:00:00.000,35.91899999999985
393,1995-10-29 00:00:00.000,35.785999999999845
